x_1,x_2,y
1.166,0.213,3.435
1.163,0.158,3.448
1.163,0.127,3.442
1.195,0.210,3.403
1.165,0.145,3.471
1.100,0.192,3.388
1.297,0.232,3.546
1.172,0.120,3.404
1.125,0.159,3.429
1.128,0.224,3.414
1.229,0.217,3.511
1.261,0.183,3.453
1.201,0.151,3.443
1.216,0.124,3.508
1.096,0.073,3.506
1.206,0.174,3.506
1.264,0.183,3.474
1.177,0.089,3.422
1.228,0.133,3.495
1.146,0.129,3.464
1.218,0.155,3.454
1.169,0.140,3.441
1.142,0.165,3.415
1.253,0.133,3.530
1.161,0.211,3.473
1.152,0.126,3.510
1.267,0.207,3.458
1.229,0.200,3.462
1.246,0.175,3.459
1.219,0.217,3.473
1.182,0.155,3.381
1.207,0.134,3.448
1.238,0.193,3.532
1.280,0.208,3.578
1.259,0.185,3.517
1.120,0.282,3.490
1.180,0.194,3.430
1.161,0.219,3.440
1.141,0.213,3.440
1.237,0.190,3.409
1.178,0.232,3.557
1.211,0.166,3.569
1.190,0.223,3.500
1.155,0.167,3.537
1.216,0.149,3.522
1.168,0.122,3.637
1.336,0.107,3.597
1.161,0.174,3.645
1.190,0.217,3.521
1.109,0.139,3.498
1.277,0.296,3.477
1.250,0.160,3.495
1.208,0.122,3.437
1.200,0.197,3.487
1.222,0.166,3.490
1.274,0.204,3.486
1.214,0.140,3.530
1.116,0.164,3.513
1.156,0.154,3.553
1.104,0.103,3.596
1.198,0.136,3.491
1.195,0.155,3.597
1.231,0.227,3.494
1.169,0.198,3.571
1.096,0.159,3.488
1.167,0.147,3.503
1.265,0.310,3.534
1.141,0.147,3.436
1.245,0.131,3.485
1.248,0.229,3.538
1.251,0.153,3.486
1.242,0.112,3.544
1.227,0.206,3.568
1.161,0.128,3.568
1.195,0.208,3.522
1.225,0.105,3.515
1.143,0.195,3.516
1.291,0.186,3.515
1.229,0.109,3.549
1.205,0.259,3.568
1.161,0.139,3.594
1.207,0.181,3.538
1.094,0.177,3.490
1.204,0.236,3.515
1.128,0.179,3.566
1.152,0.171,3.502
1.205,0.228,3.618
1.137,0.106,3.594
1.192,0.171,3.538
1.223,0.143,3.502
1.165,0.190,3.524
1.170,0.134,3.563
1.199,0.251,3.556
1.225,0.108,3.602
1.251,0.241,3.543
1.188,0.153,3.538
1.220,0.170,3.386
1.160,0.208,3.533
1.191,0.116,3.570
1.144,0.174,3.547
1.204,0.102,3.553
1.188,0.199,3.536
1.099,0.157,3.530
1.132,0.175,3.571
1.204,0.178,3.555
1.193,0.149,3.557
1.295,0.162,3.538
1.197,0.184,3.516
1.192,0.224,3.590
1.232,0.172,3.615
1.162,0.141,3.525
1.259,0.196,3.518
1.249,0.126,3.577
1.220,0.147,3.566
1.113,0.190,3.527
1.182,0.128,3.465
1.183,0.208,3.607
1.225,0.179,3.545
1.213,0.176,3.623
1.216,0.204,3.594
1.135,0.118,3.638
1.198,0.175,3.566
1.182,0.215,3.480
1.201,0.172,3.580
1.266,0.170,3.593
1.146,0.154,3.542
1.191,0.188,3.605
1.286,0.224,3.523
1.246,0.211,3.582
1.175,0.157,3.570
1.173,0.106,3.611
1.195,0.049,3.577
1.223,0.269,3.584
1.258,0.224,3.547
1.171,0.173,3.591
1.200,0.140,3.588
1.181,0.193,3.592
1.074,0.169,3.677
1.297,0.184,3.528
1.212,0.201,3.588
1.160,0.144,3.561
1.158,0.065,3.609
1.209,0.194,3.546
1.155,0.162,3.534
1.242,0.147,3.599
1.170,0.203,3.598
1.242,0.224,3.630
1.105,0.211,3.573
1.201,0.187,3.482
1.215,0.176,3.679
1.202,0.181,3.536
1.191,0.213,3.611
1.177,0.145,3.506
1.219,0.171,3.659
1.279,0.200,3.552
1.259,0.184,3.681
1.129,0.221,3.549
1.146,0.236,3.609
1.177,0.347,3.651
1.245,0.100,3.466
1.192,0.084,3.639
1.203,0.175,3.612
1.233,0.111,3.668
1.133,0.181,3.564
1.264,0.163,3.524
1.227,0.185,3.583
1.220,0.178,3.636
1.169,0.275,3.521
1.194,0.266,3.605
1.265,0.176,3.601
1.274,0.164,3.628
1.177,0.200,3.645
1.197,0.340,3.579
1.216,0.199,3.583
1.210,0.210,3.569
1.240,0.184,3.592
1.178,0.122,3.648
1.168,0.162,3.553
1.222,0.154,3.636
1.125,0.163,3.589
1.117,0.233,3.624
1.246,0.171,3.663
1.151,0.242,3.627
1.211,0.204,3.636
1.263,0.156,3.623
1.224,0.192,3.643
1.208,0.205,3.607
1.243,0.136,3.661
1.298,0.277,3.680
1.194,0.195,3.641
1.221,0.177,3.651
1.256,0.177,3.664
1.138,0.158,3.627
1.120,0.169,3.626
1.151,0.188,3.629
1.165,0.277,3.537
1.185,0.174,3.669
1.204,0.178,3.546
1.293,0.266,3.606
1.192,0.144,3.617
1.151,0.182,3.572
1.201,0.130,3.608
1.201,0.176,3.590
1.214,0.133,3.660
1.106,0.249,3.788
1.212,0.267,3.699
1.210,0.121,3.671
1.157,0.282,3.678
1.201,0.204,3.615
1.192,0.158,3.666
1.148,0.185,3.572
1.220,0.252,3.578
1.104,0.144,3.563
1.305,0.197,3.541
1.137,0.264,3.613
1.189,0.178,3.608
1.240,0.171,3.585
1.229,0.202,3.772
1.139,0.192,3.627
1.122,0.198,3.676
1.253,0.198,3.616
1.192,0.183,3.589
1.259,0.206,3.743
1.290,0.269,3.626
1.238,0.061,3.692
1.166,0.271,3.755
1.146,0.257,3.692
1.261,0.047,3.651
1.051,0.240,3.617
1.164,0.213,3.687
1.202,0.102,3.574
1.293,0.135,3.703
1.234,0.155,3.671
1.236,0.201,3.612
1.259,0.266,3.681
1.155,0.076,3.585
1.214,0.262,3.635
1.189,0.119,3.641
1.143,0.195,3.655
1.173,0.222,3.664
1.319,0.151,3.666
1.236,0.189,3.670
1.166,0.186,3.675
1.163,0.173,3.685
1.278,0.185,3.596
1.192,0.094,3.742
1.202,0.146,3.712
1.308,0.111,3.665
1.219,0.144,3.698
1.285,0.104,3.706
1.204,0.189,3.653
1.277,0.173,3.721
1.128,0.186,3.603
1.188,0.246,3.671
1.266,0.178,3.806
1.122,0.139,3.713
1.145,0.224,3.723
1.174,0.164,3.733
1.185,0.218,3.708
1.214,0.163,3.693
1.197,0.257,3.699
1.160,0.219,3.731
1.168,0.177,3.718
1.135,0.192,3.737
1.298,0.214,3.648
1.199,0.211,3.691
1.160,0.171,3.676
1.180,0.154,3.665
1.177,0.096,3.745
1.187,0.210,3.705
1.261,0.184,3.679
1.182,0.201,3.744
1.179,0.217,3.697
1.094,0.202,3.792
1.226,0.236,3.665
1.162,0.209,3.691
1.186,0.134,3.690
1.199,0.277,3.831
1.194,0.188,3.729
1.295,0.171,3.732
1.146,0.117,3.685
1.248,0.231,3.707
1.192,0.271,3.735
1.215,0.173,3.775
1.224,0.187,3.629
1.181,0.164,3.679
1.221,0.194,3.857
1.226,0.278,3.746
1.211,0.182,3.662
1.272,0.217,3.693
1.215,0.232,3.714
1.237,0.210,3.749
1.255,0.142,3.774
1.156,0.155,3.683
1.231,0.069,3.804
1.187,0.164,3.782
1.255,0.154,3.740
1.174,0.185,3.686
1.223,0.171,3.710
1.167,0.182,3.798
1.260,0.264,3.680
1.221,0.189,3.689
1.166,0.237,3.767
1.170,0.210,3.679
1.219,0.217,3.727
1.149,0.192,3.666
1.209,0.125,3.663
1.275,0.249,3.715
1.231,0.284,3.751
1.214,0.195,3.796
1.185,0.203,3.659
1.191,0.197,3.775
1.162,0.265,3.805
1.241,0.299,3.727
1.196,0.138,3.752
1.179,0.120,3.775
1.313,0.102,3.752
1.198,0.226,3.771
1.275,0.294,3.760
1.305,0.176,3.767
1.141,0.147,3.724
1.189,0.220,3.822
1.218,0.311,3.743
1.242,0.217,3.725
1.179,0.219,3.749
1.333,0.196,3.794
1.255,0.189,3.754
1.258,0.211,3.706
1.226,0.132,3.744
1.208,0.218,3.790
1.199,0.284,3.734
1.261,0.164,3.828
1.196,0.259,3.804
1.295,0.194,3.771
1.234,0.123,3.809
1.196,0.205,3.848
1.214,0.182,3.782
1.330,0.193,3.804
1.234,0.236,3.768
1.181,0.194,3.815
1.135,0.221,3.779
1.157,0.275,3.814
1.083,0.204,3.703
1.228,0.190,3.832
1.171,0.161,3.848
1.218,0.235,3.852
1.258,0.179,3.688
1.171,0.248,3.708
1.237,0.260,3.851
1.229,0.199,3.785
1.250,0.130,3.788
1.223,0.246,3.746
1.186,0.181,3.742
1.167,0.245,3.714
1.204,0.170,3.805
1.110,0.243,3.825
1.213,0.265,3.734
1.112,0.247,3.793
1.199,0.220,3.807
1.149,0.110,3.791
1.254,0.249,3.751
1.261,0.032,3.800
1.153,0.154,3.878
1.144,0.171,3.748
1.260,0.152,3.818
1.256,0.230,3.774
1.199,0.230,3.789
1.199,0.160,3.770
1.292,0.180,3.753
1.242,0.186,3.841
1.277,0.258,3.844
1.237,0.193,3.803
1.196,0.185,3.681
1.134,0.250,3.830
1.115,0.216,3.822
1.293,0.185,3.813
1.231,0.165,3.777
1.209,0.207,3.792
1.272,0.152,3.813
1.162,0.161,3.770
1.271,0.166,3.838
1.299,0.219,3.740
1.252,0.220,3.830
1.208,0.218,3.834
1.233,0.257,3.822
1.125,0.181,3.780
1.135,0.172,3.758
1.276,0.271,3.766
1.132,0.133,3.884
1.224,0.207,3.864
1.206,0.098,3.757
1.190,0.291,3.761
1.289,0.194,3.842
1.212,0.147,3.797
1.160,0.267,3.706
1.232,0.176,3.881
1.301,0.331,3.815
1.178,0.181,3.937
1.172,0.222,3.887
1.177,0.104,3.722
1.319,0.220,3.708
1.129,0.187,3.788
1.111,0.261,3.898
1.268,0.287,3.868
1.257,0.291,3.845
1.221,0.197,3.780
1.174,0.215,3.809
1.229,0.254,3.825
1.218,0.273,3.813
1.223,0.142,3.808
1.268,0.163,3.862
1.238,0.244,3.801
1.254,0.226,3.872
1.231,0.146,3.784
1.212,0.190,3.942
1.256,0.185,3.749
1.224,0.169,3.833
1.217,0.255,3.893
1.262,0.156,3.790
1.261,0.253,3.820
1.247,0.164,3.730
1.196,0.138,3.855
1.306,0.225,3.910
1.150,0.227,3.840
1.114,0.208,3.899
1.233,0.117,3.774
1.173,0.267,3.843
1.246,0.181,3.832
1.353,0.196,3.862
1.249,0.209,3.828
1.228,0.276,3.829
1.251,0.186,3.841
1.220,0.185,3.864
1.230,0.215,3.915
1.218,0.157,3.890
1.286,0.180,3.905
1.153,0.202,3.927
1.153,0.221,3.764
1.176,0.186,3.795
1.266,0.251,3.764
1.272,0.159,3.959
1.276,0.176,3.818
1.275,0.211,3.870
1.130,0.223,3.887
1.269,0.176,3.852
1.190,0.269,3.934
1.177,0.174,3.862
1.073,0.228,3.861
1.189,0.161,3.825
1.318,0.094,3.968
1.100,0.134,3.893
1.237,0.152,3.954
1.295,0.274,3.861
1.190,0.182,3.878
1.119,0.189,3.857
1.125,0.219,3.851
1.311,0.214,3.930
1.322,0.230,3.878
1.284,0.275,3.730
1.321,0.259,3.916
1.160,0.191,3.894
1.211,0.157,3.857
1.229,0.263,3.825
1.210,0.227,3.812
1.249,0.197,3.905
1.301,0.159,3.896
1.172,0.122,3.876
1.198,0.236,3.830
1.243,0.146,3.828
1.209,0.190,3.913
1.265,0.290,3.795
1.190,0.182,3.876
1.148,0.208,3.863
1.216,0.264,3.946
1.241,0.242,3.914
1.184,0.239,3.893
1.252,0.197,3.945
1.196,0.184,3.819
1.179,0.227,3.992
1.197,0.185,3.888
1.210,0.214,3.846
1.263,0.174,3.900
1.230,0.181,3.924
1.187,0.231,3.839
1.270,0.243,3.935
1.214,0.263,3.935
1.223,0.194,3.937
1.212,0.232,3.921
1.256,0.222,3.898
1.128,0.084,3.883
1.230,0.311,3.827
1.229,0.237,3.887
1.217,0.205,3.875
1.188,0.195,3.925
1.240,0.200,3.903
1.262,0.072,3.892
1.264,0.259,3.893
1.202,0.225,3.956
1.177,0.223,3.916
1.222,0.314,3.910
1.191,0.192,3.906
1.119,0.212,3.995
1.179,0.139,3.911
1.164,0.164,3.944
1.273,0.176,3.955
1.201,0.163,3.951
1.201,0.288,3.883
1.281,0.212,4.101
1.260,0.303,3.914
1.221,0.270,3.902
1.220,0.155,3.877
1.285,0.211,3.944
1.288,0.175,3.983
1.115,0.164,3.916
1.185,0.237,3.921
1.253,0.211,4.018
1.217,0.297,3.957
1.194,0.231,3.950
1.177,0.158,3.926
1.103,0.134,3.853
1.260,0.142,4.048
1.243,0.163,3.960
1.168,0.199,3.890
1.293,0.201,3.952
1.182,0.260,3.929
1.126,0.323,4.048
1.242,0.203,3.889
1.101,0.167,3.916
1.197,0.210,3.917
1.276,0.247,4.027
1.187,0.192,3.942
1.243,0.205,4.022
1.284,0.305,3.961
1.208,0.179,3.939
1.166,0.175,3.894
1.294,0.209,3.965
1.209,0.240,3.911
1.198,0.198,3.937
1.270,0.314,3.961
1.149,0.222,3.924
1.217,0.195,3.898
1.175,0.253,3.935
1.273,0.100,3.912
1.204,0.210,4.034
1.201,0.199,3.954
1.251,0.130,4.014
1.171,0.243,3.802
1.262,0.210,3.994
1.218,0.231,3.929
1.267,0.268,3.982
1.284,0.293,3.939
1.216,0.222,3.991
1.187,0.134,3.894
1.187,0.169,3.989
1.308,0.250,3.974
1.268,0.286,3.955
1.189,0.152,3.965
1.231,0.285,4.038
1.183,0.333,3.971
1.308,0.150,3.949
1.203,0.215,4.071
1.189,0.191,3.952
1.286,0.158,4.060
1.293,0.226,4.039
1.223,0.177,4.015
1.222,0.211,3.940
1.233,0.258,3.969
1.273,0.232,4.013
1.230,0.134,3.988
1.180,0.234,3.961
1.181,0.229,3.941
1.247,0.194,4.030
1.287,0.134,4.003
1.183,0.141,4.010
1.202,0.229,3.974
1.369,0.215,3.932
1.268,0.240,4.050
1.165,0.216,3.920
1.252,0.228,3.890
1.258,0.251,4.030
1.255,0.116,3.963
1.217,0.170,3.941
1.214,0.254,3.951
1.223,0.311,4.031
1.244,0.150,3.973
1.328,0.169,3.987
1.173,0.251,3.973
1.224,0.193,4.012
1.210,0.199,4.026
1.254,0.163,3.969
1.207,0.266,4.004
1.204,0.182,3.982
1.198,0.151,3.984
1.180,0.201,3.945
1.274,0.183,4.040
1.188,0.204,3.981
1.224,0.183,4.053
1.219,0.199,4.046
1.218,0.212,3.969
1.236,0.198,3.973
1.297,0.335,3.973
1.273,0.252,3.972
1.143,0.161,3.927
1.318,0.305,4.032
1.205,0.309,4.032
1.189,0.178,3.959
1.231,0.111,3.915
1.156,0.145,4.030
1.313,0.167,3.866
1.233,0.226,3.978
1.204,0.146,4.066
1.200,0.120,4.026
1.269,0.201,3.961
1.136,0.146,4.030
1.224,0.207,3.997
1.186,0.178,3.954
1.224,0.279,4.082
1.264,0.245,4.047
1.118,0.235,4.085
1.245,0.151,4.038
1.238,0.255,4.087
1.219,0.175,4.050
1.305,0.262,3.988
1.164,0.206,3.958
1.268,0.213,4.043
1.309,0.199,4.033
1.230,0.223,3.967
1.284,0.301,4.015
1.322,0.216,4.062
1.264,0.167,3.923
1.206,0.172,4.015
1.180,0.280,4.025
1.250,0.241,3.979
1.284,0.202,4.014
1.282,0.201,4.014
1.290,0.206,4.091
1.350,0.240,4.057
1.155,0.125,4.077
1.232,0.230,4.042
1.187,0.223,4.112
1.203,0.120,4.138
1.269,0.163,4.053
1.211,0.208,4.069
1.157,0.199,3.993
1.282,0.252,4.117
1.276,0.120,3.966
1.251,0.299,4.027
1.273,0.235,4.134
1.230,0.219,4.041
1.193,0.224,4.075
1.245,0.249,4.080
1.174,0.193,4.029
1.255,0.226,4.160
1.182,0.116,4.125
1.341,0.237,4.061
1.292,0.229,4.104
1.285,0.259,4.033
1.201,0.249,4.037
1.318,0.188,4.062
1.269,0.229,4.077
1.218,0.183,4.085
1.279,0.239,4.084
1.210,0.270,4.056
1.232,0.285,4.077
1.268,0.182,4.030
1.192,0.202,4.093
1.239,0.113,4.081
1.214,0.239,3.952
1.255,0.127,4.029
1.224,0.212,4.100
1.274,0.238,4.070
1.219,0.160,4.005
1.210,0.270,4.078
1.290,0.244,4.080
1.276,0.306,4.061
1.271,0.189,4.060
1.294,0.244,4.081
1.285,0.223,4.169
1.224,0.206,3.999
1.248,0.271,3.977
1.301,0.216,4.107
1.184,0.220,4.062
1.184,0.252,4.079
1.254,0.158,4.121
1.264,0.091,4.132
1.215,0.170,4.052
1.247,0.230,4.138
1.295,0.232,4.031
1.230,0.233,4.022
1.140,0.219,4.186
1.302,0.211,4.195
1.176,0.255,4.053
1.277,0.246,4.056
1.252,0.131,4.161
1.372,0.240,4.007
1.171,0.207,4.138
1.313,0.142,4.057
1.269,0.239,4.098
1.205,0.282,4.134
1.279,0.280,4.067
1.195,0.181,4.144
1.212,0.211,4.050
1.125,0.136,4.172
1.210,0.245,4.165
1.319,0.258,4.148
1.145,0.135,4.152
1.268,0.239,4.049
1.205,0.177,4.083
1.133,0.232,4.175
1.233,0.217,4.158
1.240,0.201,4.140
1.186,0.217,4.146
1.210,0.160,4.116
1.175,0.204,4.017
1.229,0.116,4.152
1.233,0.262,4.049
1.283,0.176,4.122
1.287,0.100,4.019
1.303,0.200,3.999
1.257,0.354,4.124
1.255,0.203,4.123
1.205,0.134,4.169
1.242,0.217,4.199
1.224,0.301,4.099
1.254,0.128,4.142
1.293,0.160,4.104
1.223,0.185,4.052
1.264,0.185,4.199
1.282,0.219,4.014
1.202,0.201,4.110
1.223,0.193,4.059
1.244,0.259,4.061
1.196,0.175,4.164
1.203,0.283,3.992
1.358,0.300,4.134
1.252,0.227,4.090
1.286,0.168,4.124
1.182,0.193,4.097
1.183,0.180,4.138
1.228,0.197,4.110
1.176,0.160,4.077
1.237,0.204,4.110
1.234,0.108,4.193
1.209,0.168,4.159
1.247,0.264,4.172
1.200,0.111,4.123
1.177,0.215,4.120
1.252,0.259,4.116
1.236,0.273,4.126
1.161,0.221,4.212
1.177,0.281,4.174
1.241,0.234,4.195
1.310,0.215,4.099
1.137,0.215,4.082
1.253,0.199,4.097
1.285,0.230,4.123
1.211,0.246,4.141
1.178,0.187,4.106
1.242,0.228,4.186
1.329,0.162,4.195
1.364,0.195,4.190
1.187,0.181,4.175
1.166,0.199,4.215
1.243,0.181,4.268
1.301,0.235,4.171
1.237,0.204,4.185
1.096,0.276,4.164
1.310,0.200,4.200
1.318,0.203,4.129
1.271,0.182,4.124
1.318,0.210,4.168
1.221,0.294,4.189
1.186,0.187,4.126
1.230,0.221,4.131
1.323,0.193,4.178
1.261,0.212,4.146
1.279,0.255,4.237
1.283,0.231,4.171
1.259,0.208,4.168
1.371,0.182,4.260
1.210,0.238,4.230
1.242,0.230,4.155
1.292,0.311,4.253
1.264,0.239,4.281
1.358,0.215,4.185
1.287,0.269,4.182
1.175,0.221,4.131
1.211,0.184,4.232
1.264,0.208,4.233
1.254,0.307,4.105
1.275,0.261,4.109
1.272,0.282,4.260
1.215,0.165,4.235
1.244,0.324,4.255
1.276,0.130,4.121
1.264,0.342,4.065
1.226,0.204,4.139
1.162,0.166,4.245
1.179,0.210,4.107
1.244,0.250,4.236
1.275,0.238,4.187
1.245,0.275,4.261
1.229,0.345,4.160
1.373,0.148,4.163
1.223,0.203,4.130
1.212,0.169,4.216
1.273,0.172,4.208
1.271,0.213,4.154
1.276,0.129,4.183
1.237,0.222,4.221
1.255,0.246,4.144
1.283,0.160,4.190
1.268,0.204,4.221
1.222,0.305,4.302
1.263,0.276,4.260
1.271,0.205,4.166
1.215,0.248,4.226
1.293,0.226,4.211
1.273,0.173,4.190
1.132,0.216,4.069
1.268,0.248,4.237
1.190,0.274,4.252
1.195,0.188,4.185
1.273,0.214,4.172
1.312,0.267,4.225
1.120,0.270,4.255
1.262,0.202,4.258
1.158,0.240,4.248
1.188,0.272,4.288
1.247,0.238,4.211
1.338,0.266,4.186
1.194,0.174,4.244
1.293,0.172,4.310
1.224,0.122,4.267
1.281,0.248,4.179
1.256,0.185,4.219
1.182,0.125,4.149
1.279,0.302,4.286
1.302,0.197,4.218
1.233,0.218,4.215
1.287,0.289,4.303
1.191,0.257,4.144
1.263,0.180,4.227
1.197,0.187,4.207
1.313,0.282,4.236
1.209,0.165,4.292
1.144,0.199,4.172
1.207,0.265,4.259
1.224,0.203,4.224
1.165,0.170,4.285
1.247,0.229,4.220
1.205,0.211,4.226
1.225,0.264,4.296
1.181,0.177,4.198
1.156,0.300,4.311
1.202,0.251,4.208
1.221,0.191,4.289
1.221,0.128,4.239
1.351,0.233,4.304
1.256,0.239,4.212
1.232,0.236,4.260
1.275,0.254,4.247
1.188,0.195,4.334
1.204,0.199,4.208
1.269,0.265,4.245
1.326,0.204,4.210
1.323,0.251,4.201
1.235,0.243,4.187
1.220,0.218,4.259
1.228,0.192,4.260
1.214,0.153,4.247
1.234,0.147,4.288
1.302,0.238,4.189
1.249,0.320,4.236
1.239,0.094,4.251
1.265,0.218,4.337
1.224,0.274,4.279
1.215,0.239,4.267
1.175,0.208,4.256
1.229,0.217,4.218
1.316,0.322,4.232
1.218,0.142,4.182
1.282,0.164,4.254
1.132,0.191,4.286
1.214,0.160,4.209
1.244,0.257,4.284
1.163,0.211,4.206
1.259,0.243,4.257
1.237,0.176,4.341
1.248,0.215,4.188
1.215,0.241,4.262
1.248,0.210,4.322
1.224,0.133,4.286
1.351,0.269,4.257
1.298,0.201,4.253
1.249,0.230,4.246
1.226,0.164,4.253
1.188,0.244,4.322
1.238,0.237,4.195
1.154,0.278,4.234
1.195,0.152,4.333
1.293,0.249,4.237
1.317,0.212,4.269
1.249,0.242,4.289
1.254,0.175,4.381
1.183,0.224,4.302
1.202,0.305,4.283
1.216,0.189,4.255
1.213,0.238,4.386
1.216,0.226,4.276
1.256,0.209,4.327
1.230,0.178,4.332
1.267,0.252,4.279
1.307,0.202,4.240
1.108,0.223,4.367
1.173,0.166,4.151
1.244,0.255,4.255
1.258,0.278,4.311
1.244,0.169,4.309
1.240,0.223,4.318
1.181,0.245,4.311
1.181,0.191,4.296
1.252,0.264,4.330
1.291,0.164,4.387
1.257,0.123,4.359
1.235,0.147,4.326
1.221,0.207,4.349
1.266,0.209,4.371
1.241,0.267,4.334
1.216,0.269,4.262
1.271,0.235,4.302
1.216,0.320,4.275
1.220,0.226,4.287
1.160,0.283,4.339
1.199,0.214,4.325
1.197,0.182,4.395
1.246,0.262,4.170
1.277,0.300,4.232
1.288,0.278,4.275
1.177,0.126,4.350
1.270,0.183,4.337
1.237,0.111,4.430
1.271,0.274,4.354
1.159,0.246,4.322
1.274,0.248,4.419
1.207,0.272,4.266
1.232,0.277,4.292
1.152,0.291,4.301
1.328,0.239,4.263
1.263,0.139,4.362
1.204,0.233,4.337
1.195,0.305,4.401
1.288,0.169,4.337
1.201,0.105,4.311
1.241,0.178,4.300
1.290,0.256,4.293
1.289,0.231,4.298
1.241,0.265,4.298
1.265,0.233,4.318
1.235,0.257,4.323
1.231,0.243,4.306
1.212,0.198,4.324
1.168,0.254,4.375
1.227,0.289,4.373
1.210,0.288,4.336
1.250,0.346,4.275
1.214,0.116,4.351
1.218,0.205,4.320
1.229,0.258,4.302
1.257,0.211,4.372
1.263,0.243,4.385
1.214,0.268,4.272
1.215,0.215,4.321
1.213,0.196,4.350
1.261,0.235,4.308
1.165,0.283,4.335
1.282,0.195,4.290
1.250,0.216,4.407
1.265,0.271,4.379
1.348,0.206,4.386
1.351,0.169,4.280
1.314,0.200,4.346
1.256,0.218,4.425
1.214,0.229,4.301
1.255,0.196,4.370
1.254,0.337,4.313
1.324,0.187,4.334
1.324,0.194,4.432
1.321,0.191,4.315
1.285,0.183,4.357
1.234,0.246,4.413
1.179,0.213,4.399
1.252,0.358,4.376
1.297,0.287,4.441
1.251,0.153,4.454
1.262,0.250,4.311
1.362,0.201,4.329
1.312,0.209,4.417
1.250,0.292,4.352
1.214,0.269,4.298
1.296,0.186,4.438
1.323,0.215,4.421
1.179,0.226,4.417
1.309,0.249,4.390
1.252,0.171,4.376
1.263,0.160,4.282
1.250,0.179,4.353
1.330,0.213,4.346
1.377,0.281,4.390
1.282,0.242,4.334
1.303,0.181,4.456
1.300,0.270,4.377
1.214,0.278,4.387
1.241,0.242,4.387
1.328,0.253,4.459
1.240,0.184,4.422
1.174,0.273,4.390
1.223,0.245,4.342
1.180,0.231,4.343
1.278,0.251,4.355
1.192,0.283,4.448
1.239,0.199,4.475
1.262,0.211,4.360
1.238,0.242,4.395
1.201,0.316,4.344
1.297,0.220,4.371
1.314,0.250,4.385
1.287,0.270,4.446
1.283,0.187,4.346
1.347,0.316,4.444
1.300,0.240,4.420
1.254,0.166,4.454
1.219,0.210,4.283
1.331,0.123,4.393
1.258,0.210,4.462
1.252,0.191,4.458
1.249,0.220,4.447
1.170,0.195,4.365
1.218,0.232,4.400
1.263,0.378,4.500
1.288,0.195,4.264
1.233,0.236,4.427
1.322,0.200,4.445
1.246,0.267,4.379
1.247,0.188,4.428
1.289,0.161,4.441
1.286,0.254,4.413
1.220,0.245,4.453
1.341,0.284,4.442
1.352,0.186,4.398
1.334,0.230,4.355
1.208,0.287,4.339
1.316,0.248,4.444
1.211,0.159,4.413
1.298,0.205,4.452
1.298,0.315,4.458
1.293,0.273,4.376
1.297,0.214,4.497
1.206,0.198,4.481
1.277,0.272,4.338
1.298,0.255,4.456
1.215,0.196,4.425
1.270,0.191,4.456
1.248,0.172,4.515
1.242,0.210,4.420
1.230,0.293,4.385
1.258,0.178,4.474
1.290,0.237,4.404
1.196,0.227,4.431
1.256,0.230,4.451
1.250,0.325,4.348
1.233,0.194,4.403
1.301,0.207,4.388
1.241,0.149,4.465
1.308,0.299,4.490
1.298,0.241,4.375
1.323,0.251,4.514
1.365,0.245,4.369
1.261,0.287,4.499
1.322,0.277,4.466
1.297,0.310,4.378
1.252,0.231,4.408
1.343,0.222,4.431
1.224,0.124,4.520
1.260,0.258,4.442
1.290,0.188,4.306
1.212,0.201,4.414
1.353,0.251,4.493
1.291,0.239,4.481
1.235,0.226,4.372
1.201,0.296,4.416
1.196,0.217,4.396
1.324,0.195,4.472
1.269,0.262,4.466
1.241,0.246,4.463
1.305,0.322,4.481
1.252,0.152,4.470
1.330,0.199,4.392
1.214,0.231,4.488
1.212,0.332,4.393
1.238,0.245,4.556
1.273,0.290,4.416
1.267,0.184,4.400
1.259,0.245,4.447
1.285,0.257,4.481
1.256,0.176,4.535
1.251,0.201,4.486
1.264,0.229,4.526
1.334,0.225,4.461
1.312,0.229,4.576
1.207,0.297,4.567
1.286,0.255,4.373
1.235,0.175,4.459
1.215,0.265,4.536
1.294,0.223,4.517
1.310,0.318,4.536
1.215,0.143,4.489
1.256,0.216,4.565
1.308,0.228,4.522
1.259,0.244,4.478
1.202,0.199,4.509
1.269,0.226,4.526
1.193,0.181,4.466
1.269,0.258,4.485
1.277,0.126,4.471
1.258,0.180,4.507
1.320,0.207,4.414
1.267,0.270,4.529
1.341,0.270,4.501
1.190,0.260,4.578
1.249,0.188,4.548
1.214,0.190,4.531
1.338,0.185,4.529
1.194,0.174,4.548
1.236,0.328,4.480
1.240,0.219,4.487
1.300,0.234,4.455
1.239,0.295,4.480
1.289,0.271,4.423
1.256,0.277,4.522
1.146,0.215,4.455
1.268,0.263,4.555
1.273,0.111,4.426
1.218,0.266,4.498
1.149,0.275,4.487
1.256,0.172,4.490
1.242,0.216,4.517
1.285,0.249,4.494
1.342,0.237,4.472
1.260,0.280,4.554
1.302,0.275,4.491
1.253,0.264,4.536
1.252,0.243,4.390
1.298,0.291,4.380
1.243,0.251,4.576
1.318,0.215,4.489
1.276,0.261,4.594
1.275,0.207,4.624
1.307,0.234,4.569
1.154,0.127,4.565
1.169,0.234,4.554
1.323,0.336,4.467
1.286,0.254,4.461
1.305,0.276,4.545
1.340,0.248,4.551
